,log2FoldChange,pvalue,padj,significant,mean_log2_expression
SLC25A42,-0.20874271465455685,0.26927204573748903,0.4174607154300578,False,3.801519960633443
FCRL6,-0.2227687827770517,0.33280459058003486,0.4847107324739924,False,1.7480613274648396
METTL23,-0.5930711544101896,0.01782983850479602,0.061590668890650103,False,3.39259296751181
ANKRD34A,0.2797768029337908,0.061051972626322754,0.14341978851610096,False,0.9645434512043851
SLC26A11,-0.15274222535611148,0.4533184574594379,0.6045262536617535,False,4.666935194544984
HIGD1A,0.2014989814526027,0.2963366071789946,0.4465340092993395,False,4.255067987794866
CHRM2,0.3942513698773446,0.21049217007301466,0.34885596556141574,False,0.4414984809369793
OR52N4,0.39045870124845583,0.03397358030998655,0.09529358644444273,False,0.7303386298417
MAPK15,-1.0839632644321378,0.01844587225145795,0.06303040162076247,False,4.221312200906371
EHMT1,-0.3157863327524648,0.24785875181130373,0.39345682054035247,False,6.0096595411115095
ADIPOQ,0.9545251949902671,0.01565731529956819,0.05638527313323686,False,2.380329253250616
F2R,0.41493000350929066,0.020399417984485264,0.06722112898989073,False,3.891244521041306
ZNF707,-0.8608666266274914,0.0004144747910806682,0.004073522631174374,False,4.266675478645448
MUC16,-1.2555560294829093,0.0023311332571284847,0.014415431864332102,True,2.339024837034513
NPM1,0.0693450210371207,0.8392598441763339,0.9207572778364612,False,7.179813071898675
PJA1,0.2905526074053637,0.012023038478776891,0.04737708698158599,False,2.9316717343005734
DHTKD1,-1.083849057859401,4.849975083306088e-07,2.1071372432750013e-05,True,4.327617097130612
PENK,1.8623585717913902,7.207053623222703e-07,2.9657318629220902e-05,True,1.6178263613344663
C4orf50,0.3015969918246749,0.14297937586840703,0.2644701737291281,False,0.3991203938081496
HIST3H2A,-1.9423543569409905,1.202853591549445e-06,4.460318755202275e-05,True,3.41494015482827
ZNF746,-0.4399357253861256,0.017325617792229984,0.0603534855164295,False,4.062843965318645
POLR2A,0.169107616653827,0.2940245726329774,0.4440292858433084,False,6.316914430065452
TMEM132C,1.7100028558711244,2.4563485063111374e-10,4.828274937745174e-08,True,1.363020544295719
SLC25A41,0.1496569284391333,0.3319768290452235,0.48385306175578396,False,0.41084243566258294
TMEM136,0.0466525527330961,0.8306977914937533,0.9149832700387645,False,2.5769274350769638
OR5AK2,0.3967706855624818,0.05568157243773735,0.13454220259869085,False,0.21292407075838923
FRAT2,-0.5257373776098606,0.007047122200308533,0.03239692008797606,False,2.728102925484435
TMEM102,-0.5530342413261193,0.0036752885955107723,0.020225575674017695,False,2.4311288218308955
TMEM132E,-0.03608987882534165,0.8946237454415007,0.9591186205645925,False,0.9990072153210713
ZNF322,-0.012223349580538834,0.9572819244110212,1.0,False,2.7920090918836156
NME9,0.749433659559888,0.003134809672253096,0.017999817533872996,False,1.9409351091273617
SPEM1,0.3130501432706692,0.05105989307681149,0.12677932244703524,False,0.2666647072784615
HEPHL1,0.03309099906649332,0.8247231279754228,0.9108304848892871,False,0.36537147710588175
FAM211A,-0.2405159832184358,0.426084670481197,0.5773716778369798,False,3.760503641207853
OFCC1,-0.4139295780318004,0.316583082462561,0.4684309791373975,False,1.1020951027381556
