,log2FoldChange,pvalue,padj,significant,mean_log2_expression
AURKA,-1.4126041637599698,1.0574215745018464e-07,6.0476150275040624e-06,True,2.5414879649569877
GPR17,1.3005135349316443,1.0754786288948407e-07,6.117641951814209e-06,True,2.697036172993914
ADAMTS15,1.484986978569357,1.0757090461552198e-07,6.117641951814209e-06,True,2.7182080409137077
IL1RL1,1.4026158577489745,1.0809484494715185e-07,6.13021913389366e-06,True,1.58742970188953
SEMA6D,1.584905468420868,1.1067301531588302e-07,6.241464813608266e-06,True,2.2861230352714372
EFNA3,1.3455128238381802,1.1063862989095415e-07,6.241464813608266e-06,True,7.602619793906512
KLF15,1.2483220259879537,1.125098756890395e-07,6.327430397778593e-06,True,2.155890471711785
ZNF423,1.1355540034395806,1.1306851728495173e-07,6.3412332436319475e-06,True,2.7403626595762005
1-Sep,1.9316349200458287,1.1433236580193504e-07,6.386408583308142e-06,True,7.6213347274120995
HIST1H2AM,-2.6934386343111885,1.1450490545000769e-07,6.386408583308142e-06,True,4.768924037741814
PTGS2,1.7613892809798686,1.1496984970535456e-07,6.3947241130071655e-06,True,2.1312037343358488
CMYA5,1.5538168452316576,1.1709473589942148e-07,6.477322467266905e-06,True,2.4895193321860347
MCM3,-1.4478790730976678,1.1793482138169449e-07,6.506017421508955e-06,True,4.3722497070678195
PKMYT1,-1.9344087476963923,1.1859258520648679e-07,6.524525761115576e-06,True,4.017109118403509
UQCR11,1.613366253294128,1.1896081789180941e-07,6.527048019072014e-06,True,9.376037728020162
HIST1H2AJ,-2.8562346306933977,1.2129544403822953e-07,6.6371555675621495e-06,True,4.523735443078565
PI4K2A,1.8993566297149282,1.2304214579929538e-07,6.714585670761548e-06,True,6.76082502279219
NPIPA7,1.993156611163137,1.2664788035581945e-07,6.892776843236346e-06,True,11.118926112899562
INHBA,-1.8027245445668854,1.357754094159532e-07,7.369729059076109e-06,True,3.262148627730077
LONRF2,1.3048326372303538,1.41738026222605e-07,7.67280235000765e-06,True,2.0252350559510575
LAMA3,1.954155364117859,1.44115490585263e-07,7.780699259704625e-06,True,3.5435667062673075
MYOCD,2.0918588657103414,1.449741049983324e-07,7.8062386430751e-06,True,1.257302989765053
CHPF,-1.9416857144215172,1.470019587175917e-07,7.89443410131661e-06,True,5.144516472607459
TMEM246,1.3102096083571675,1.4740311699663748e-07,7.895035732047414e-06,True,1.0912247428209523
SULF1,-1.3297198445125584,1.4965505670553902e-07,7.994502052929666e-06,True,5.31855476205862
DLG2,1.5478617891167168,1.5086792503952623e-07,8.03808423776381e-06,True,2.47517579322797
SPP1,-2.928609073824026,1.521300887102658e-07,8.084057154929243e-06,True,5.177744206309364
PRDM8,1.090525441526304,1.5436983352269294e-07,8.160239293734834e-06,True,1.9697657462897538
